"Region","YOR","G","BLUP"
"Central Great Plains",2017,"STARDUST",3.40775435036849
"Central Great Plains",2020,"STEAMBOAT",3.84622133985854
"Central Great Plains",2004,"STURDY 2K",3.27807730593311
"Central Great Plains",2014,"SUNSHINE",3.80599021076675
"Central Great Plains",2017,"SY ACHIEVE CL2",3.46695974675815
"Central Great Plains",2017,"SY BENEFIT",3.48332338057665
"Central Great Plains",2010,"SY GOLD",3.47996129073255
"Central Great Plains",2017,"SY GRIT",3.42969690763905
"Central Great Plains",2015,"SY LCS FLINT",3.60666698327371
"Central Great Plains",2018,"SY LEGEND CL2",3.51409040419952
"Central Great Plains",2014,"SY LLANO",3.19841586984774
"Central Great Plains",2014,"SY MONUMENT",3.81864854859655
"Central Great Plains",2017,"SY RUGGED",3.67727754156871
"Central Great Plains",2012,"SY SOUTHWIND",3.47732828942432
"Central Great Plains",2015,"SY SUNRISE",3.69572003785718
"Central Great Plains",2010,"SY WOLF",3.59450499611431
"Central Great Plains",2019,"SY WOLVERINE",3.81055547409638
"Central Great Plains",2008,"T153",3.42910899089152
"Central Great Plains",2008,"T154",3.45256529420375
"Central Great Plains",2009,"T158",3.60116377192869
"Central Great Plains",2010,"T163",3.41596270164483
"Central Great Plains",1995,"T81",3.51159744186011
"Central Great Plains",1984,"TAM 107",3.28815030055568
"Central Great Plains",1996,"TAM 110",3.36683986936404
"Central Great Plains",2002,"TAM 111",3.36173003751847
"Central Great Plains",2005,"TAM 112",3.49138980127152
"Central Great Plains",2010,"TAM 113",3.45335690693712
"Central Great Plains",2014,"TAM 114",3.71093848018596
"Central Great Plains",2007,"TAM 203",3.47219360449765
"Central Great Plains",2014,"TAM 204",3.51483011555728
"Central Great Plains",1998,"TAM 302",3.16768001461352
"Central Great Plains",2006,"TAM 304",3.52671202087084
"Central Great Plains",2008,"TAM 401",3.27348190449332
"Central Great Plains",2016,"TATANKA",3.81668273309105
"Central Great Plains",2008,"THUNDER CL",3.44770741386861
"Central Great Plains",1999,"THUNDERBOLT",3.25844506292012
"Central Great Plains",1991,"TOMAHAWK",3.12973529783293
"Central Great Plains",1994,"TONKAWA",3.16074930364713
"Central Great Plains",1999,"TREGO",3.34163978012968
"Central Great Plains",2020,"UNCHARTED",3.69316317114396
"Central Great Plains",2000,"VENANGO",3.23712067419528
"Central Great Plains",2000,"WAHOO",3.28072853302536
"Central Great Plains",2011,"WB-CEDAR",3.5278070081042
"Central Great Plains",2012,"WB-GRAINFIELD",3.7622284356435
"Central Great Plains",2012,"WB-REDHAWK",3.33906055453955
